layer_width,reduction_percent,stop_condition,dropout_rate,focal_gamma,focal_alpha,sampling_strategy,k_neighbors,epochs,batch_size,random_state,prob_range,mean_discrimination,roc_auc,composite_score,loss_penalty,class_0_mean,class_1_mean,prob_std,test_loss,test_accuracy,test_precision,test_recall,balanced_accuracy,f1_class_0,f1_class_1,ece
1,0.951,5,0.5,2.5,0.25,0.95,5,80,256,42,0.5975331664085388,0.2525102496147156,0.7498676920085974,0.843227193515578,0.834250979363332,0.7054049372673035,0.8562881946563721,0.1695484668016433,0.19868004322052,0.8054794669151306,0.8354935050010681,0.9458239078521729,0.6957105209154633,0.4579710144927536,0.7506666666666667,0.0368607146282718
1,0.949,25,0.65,1.5,0.5,0.95,10,60,256,42,0.7354204654693604,0.2390753179788589,0.7643945694319938,0.8427036061741189,0.8409379482673935,0.6108767986297607,0.7866976857185364,0.1900592744350433,0.1891483813524246,0.7981734871864319,0.8511087894439697,0.9097065329551696,0.7107153272057632,0.4663072776280323,0.7265193370165746,0.0611111450276962
1,0.974,5,0.45,1.5,0.5,0.95,5,30,256,42,0.57099848985672,0.2615946233272552,0.7492790564550099,0.8423289774237636,0.8244965853886755,0.6747156381607056,0.8240857720375061,0.169954165816307,0.2128612995147705,0.7972602844238281,0.8415637612342834,0.9232505559921264,0.7021396092323976,0.4596443228454172,0.7292666209732693,0.0382330998438134
1,0.998,25,0.85,1.0,0.4,0.95,5,120,256,42,0.7683824300765991,0.2165471315383911,0.7628932787540367,0.839562484050265,0.8166263311410968,0.6078636646270752,0.7742546796798706,0.1773522645235061,0.2245502769947052,0.8027397394180298,0.8425357937812805,0.9300225973129272,0.7013430611208917,0.4512946979038224,0.6773023930384336,0.0666363933451099
1,0.921,10,0.6,2.5,0.4,minority,5,80,256,42,0.5920444130897522,0.2244359254837036,0.7514769892101483,0.8395152586145763,0.8877963101761727,0.6567336916923523,0.7896097302436829,0.1500083953142166,0.1263844966888427,0.7990867495536804,0.8370445370674133,0.9334085583686828,0.7067271863220539,0.4727272727272727,0.7725490196078432,0.0490811282096932
1,0.959,25,0.35,2.5,0.4,0.9,5,50,256,42,0.6890420913696289,0.2127901166677475,0.760338924471038,0.8390455426015866,0.8943630657491056,0.6264246702194214,0.7730460166931152,0.1596306264400482,0.1181141510605812,0.7972602844238281,0.8422680497169495,0.9221218824386596,0.7102725004590278,0.4796238244514106,0.7860824742268041,0.0640716710319257
1,0.86,15,0.65,1.5,0.45,minority,5,110,256,42,0.7436342239379883,0.2058126777410507,0.7573309427889445,0.8369565475216959,0.8470975958279126,0.6226380467414856,0.7756873965263367,0.1681818664073944,0.1805015206336975,0.8045662045478821,0.8478260636329651,0.9243792295455932,0.6921895082462981,0.4544138929088278,0.7484989993328885,0.0647069521010193
1,0.958,15,0.4,3.5,0.15,minority,10,80,256,42,0.6583688259124756,0.174880564212799,0.7397582814001965,0.8317554894648371,0.9164561263920228,0.6658564209938049,0.780992329120636,0.1359654068946838,0.0911597087979316,0.8009132146835327,0.8300395011901855,0.9480812549591064,0.6834544806506313,0.4454022988505747,0.7416331994645248,0.0501157961479604
1,0.878,20,0.65,2.5,0.3,minority,10,100,256,42,0.7072327136993408,0.2098443210124969,0.7564641904371023,0.83095213285874,0.899953810037589,0.6118022203445435,0.7602109909057617,0.1635788828134536,0.1111681386828422,0.8009132146835327,0.8408163189888,0.9300225973129272,0.702188212168015,0.4644412191582003,0.754163890739507,0.0782882331985316
1,0.857,20,0.4,2.0,0.25,0.9,5,50,256,42,0.6805429458618164,0.2157290130853653,0.7437329214684567,0.827250808143116,0.8690099599861468,0.6222403049468994,0.7690531611442566,0.1696646362543106,0.1507347971200943,0.7899543642997742,0.8511777520179749,0.8972911834716797,0.7049477788458423,0.4772727272727273,0.795425667090216,0.0681011066044846
1,0.898,5,0.3,1.5,0.1,0.9,10,30,256,42,0.6301347017288208,0.2015790790319442,0.7450181990992255,0.8233711513082766,0.8550437317487087,0.6302815675735474,0.7573035359382629,0.147365391254425,0.1695308238267898,0.8018264770507812,0.8321747779846191,0.9458239078521729,0.6874426215343407,0.442159383033419,0.6926345609065155,0.0798583018997488
1,0.859,5,0.35,3.5,0.45,0.95,5,110,256,42,0.7801910042762756,0.2126786559820175,0.7495976756996122,0.8219642848692438,0.9163306395109604,0.5846697092056274,0.7505996823310852,0.1910130828619003,0.0913091376423835,0.7625570893287659,0.8548752665519714,0.8510158061981201,0.6986050957477832,0.4694533762057878,0.7895408163265306,0.0902034063453543
